Model,Train Acc,Test Acc,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std,Time (s)
Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9804878048780488,0.01943582615915761,0.3068814277648926
Extra_Trees,0.9975609756097561,0.9902439024390244,0.9813084112149533,1.0,0.9905660377358491,1.0,0.9853658536585366,0.009907363908092645,0.15825843811035156
Gradient_Boosting,0.9902439024390244,0.975609756097561,0.9716981132075472,0.9809523809523809,0.976303317535545,0.9876190476190476,0.9634146341463413,0.016809815551329512,0.2600419521331787
XGBoost,0.9902439024390244,0.975609756097561,0.9807692307692307,0.9714285714285714,0.9760765550239234,0.9867619047619047,0.9487804878048781,0.01194873045260084,0.5482513904571533
Stacking,0.9914634146341463,0.9707317073170731,0.9626168224299065,0.9809523809523809,0.9716981132075472,0.9961904761904762,0.9658536585365853,0.014735421919017784,2.31943678855896
LightGBM,0.9865853658536585,0.9560975609756097,0.9444444444444444,0.9714285714285714,0.9577464788732394,0.9908571428571429,0.9487804878048781,0.020260058202239195,0.22522997856140137
SVM_RBF,0.9560975609756097,0.926829268292683,0.9166666666666666,0.9428571428571428,0.9295774647887324,0.9771428571428571,0.8951219512195122,0.015133748348769351,0.08233976364135742
SVM_Polynomial,0.9414634146341463,0.926829268292683,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.9805714285714286,0.9158536585365853,0.014116874271695409,0.05290961265563965
AdaBoost,0.8731707317073171,0.8780487804878049,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9372857142857143,0.8487804878048781,0.022618581696331005,0.23100757598876953
Decision_Tree,0.9292682926829269,0.8731707317073171,0.8623853211009175,0.8952380952380953,0.8785046728971962,0.9326190476190477,0.8987804878048781,0.021678522969062433,0.018385887145996094
KNN,0.9609756097560975,0.8634146341463415,0.8737864077669902,0.8571428571428571,0.8653846153846154,0.9629047619047618,0.8402439024390244,0.028181024410466715,0.005395174026489258
Naive_Bayes,0.8304878048780487,0.8292682926829268,0.8070175438596491,0.8761904761904762,0.8401826484018264,0.9042857142857142,0.8353658536585366,0.03294940508806412,0.0
SVM_Linear,0.8609756097560975,0.8146341463414634,0.7637795275590551,0.9238095238095239,0.8362068965517241,0.9248571428571428,0.8560975609756097,0.02796913400287734,0.10812830924987793
Logistic_Regression,0.8463414634146341,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9298095238095239,0.8426829268292682,0.01698583936241963,0.033463239669799805
Linear_SVM,0.8426829268292683,0.8048780487804879,0.7559055118110236,0.9142857142857143,0.8275862068965517,0.9296190476190477,0.8390243902439025,0.0142218338898666,0.0
Ridge_Classifier,0.8426829268292683,0.8048780487804879,0.751937984496124,0.9238095238095239,0.8290598290598291,0.9266666666666666,0.8353658536585366,0.013359086768418698,0.013213157653808594
